Feature_Extractor,Request,k,brand_only,Recall@k,R-precision,Average precision@k
ResNet34_ImageNet,4_9_Opel_zafiralife_6850.jpg,50,False,0.0,0.0,0.0
ResNet34_ImageNet,4_9_Opel_zafiralife_6850.jpg,100,False,0.010101010101010102,0.01,0.006881721793101949
ResNet34_ImageNet,4_9_Opel_zafiralife_6850.jpg,99,False,0.010101010101010102,0.010101010101010102,0.006850224033436312
ResNet34_ImageNet,4_9_Opel_zafiralife_6850.jpg,50,True,0.020202020202020204,0.04,0.015604222335168578
ResNet34_ImageNet,4_9_Opel_zafiralife_6850.jpg,100,True,0.0707070707070707,0.07,0.04580195556151535
ResNet34_ImageNet,4_9_Opel_zafiralife_6850.jpg,99,True,0.0707070707070707,0.0707070707070707,0.04555753087021752
ResNet34_ImageNet,0_1_BMW_X3_156.jpg,50,False,0.018633540372670808,0.06,0.049021633512305735
ResNet34_ImageNet,0_1_BMW_X3_156.jpg,100,False,0.037267080745341616,0.06,0.06080552583203188
ResNet34_ImageNet,0_1_BMW_X3_156.jpg,161,False,0.06832298136645963,0.06832298136645963,0.0605387748465145
ResNet34_ImageNet,0_1_BMW_X3_156.jpg,50,True,0.09316770186335403,0.3,0.24273925721677517
ResNet34_ImageNet,0_1_BMW_X3_156.jpg,100,True,0.16149068322981366,0.26,0.2665734400716129
ResNet34_ImageNet,0_1_BMW_X3_156.jpg,161,True,0.2422360248447205,0.2422360248447205,0.25685923686776513
ResNet34_ImageNet,8_1_Ford_Puma_11198.jpg,50,False,0.08633093525179857,0.24,0.40096374436807947
ResNet34_ImageNet,8_1_Ford_Puma_11198.jpg,100,False,0.11510791366906475,0.16,0.30209379952552834
ResNet34_ImageNet,8_1_Ford_Puma_11198.jpg,139,False,0.12949640287769784,0.12949640287769784,0.25560369745173345
ResNet34_ImageNet,8_1_Ford_Puma_11198.jpg,50,True,0.1510791366906475,0.42,0.49710267344704095
ResNet34_ImageNet,8_1_Ford_Puma_11198.jpg,100,True,0.23741007194244604,0.33,0.43441343336401256
ResNet34_ImageNet,8_1_Ford_Puma_11198.jpg,139,True,0.30935251798561153,0.30935251798561153,0.4017011503926376
ResNet34_ImageNet,8_6_Ford_Focus_11936.jpg,50,False,0.08080808080808081,0.16,0.27713018269600165
ResNet34_ImageNet,8_6_Ford_Focus_11936.jpg,100,False,0.12121212121212122,0.12,0.20949883827884289
ResNet34_ImageNet,8_6_Ford_Focus_11936.jpg,99,False,0.12121212121212122,0.12121212121212122,0.21040286694832613
ResNet34_ImageNet,8_6_Ford_Focus_11936.jpg,50,True,0.12121212121212122,0.24,0.3509347563224911
ResNet34_ImageNet,8_6_Ford_Focus_11936.jpg,100,True,0.1919191919191919,0.19,0.281666649579752
ResNet34_ImageNet,8_6_Ford_Focus_11936.jpg,99,True,0.1919191919191919,0.1919191919191919,0.2825925753330828
ResNet34_ImageNet,2_4_Volkswagen_Polo_3471.jpg,50,False,0.0707070707070707,0.14,0.16924635405076618
ResNet34_ImageNet,2_4_Volkswagen_Polo_3471.jpg,100,False,0.12121212121212122,0.12,0.14948303005633864
ResNet34_ImageNet,2_4_Volkswagen_Polo_3471.jpg,99,False,0.12121212121212122,0.12121212121212122,0.1497808384407461
ResNet34_ImageNet,2_4_Volkswagen_Polo_3471.jpg,50,True,0.13131313131313133,0.26,0.2481328228493809
ResNet34_ImageNet,2_4_Volkswagen_Polo_3471.jpg,100,True,0.26262626262626265,0.26,0.2504067623570146
ResNet34_ImageNet,2_4_Volkswagen_Polo_3471.jpg,99,True,0.26262626262626265,0.26262626262626265,0.2503098609666814
ResNet34_ImageNet,2_9_Volkswagen_T-Roc_4233.jpg,50,False,0.020202020202020204,0.04,0.031694256835233234
ResNet34_ImageNet,2_9_Volkswagen_T-Roc_4233.jpg,100,False,0.020202020202020204,0.02,0.029610572003820525
ResNet34_ImageNet,2_9_Volkswagen_T-Roc_4233.jpg,99,False,0.020202020202020204,0.020202020202020204,0.029707648488707602
ResNet34_ImageNet,2_9_Volkswagen_T-Roc_4233.jpg,50,True,0.030303030303030304,0.06,0.05807568849914664
ResNet34_ImageNet,2_9_Volkswagen_T-Roc_4233.jpg,100,True,0.04040404040404041,0.04,0.05254322849974489
ResNet34_ImageNet,2_9_Volkswagen_T-Roc_4233.jpg,99,True,0.04040404040404041,0.04040404040404041,0.052669927777520095
ResNet34_ImageNet,0_2_BMW_i8_300.jpg,50,False,0.028985507246376812,0.08,0.13351207838050747
ResNet34_ImageNet,0_2_BMW_i8_300.jpg,100,False,0.036231884057971016,0.05,0.09797119110553419
ResNet34_ImageNet,0_2_BMW_i8_300.jpg,138,False,0.036231884057971016,0.036231884057971016,0.08261356764953502
ResNet34_ImageNet,0_2_BMW_i8_300.jpg,50,True,0.057971014492753624,0.16,0.17262988424293926
ResNet34_ImageNet,0_2_BMW_i8_300.jpg,100,True,0.10144927536231885,0.14,0.16230363051665342
ResNet34_ImageNet,0_2_BMW_i8_300.jpg,138,True,0.15942028985507245,0.15942028985507245,0.16008402791450577
ResNet34_ImageNet,6_5_Hyundai_i30_9029.jpg,50,False,0.09090909090909091,0.18,0.33358035772502215
ResNet34_ImageNet,6_5_Hyundai_i30_9029.jpg,100,False,0.13131313131313133,0.13,0.24250227273399155
ResNet34_ImageNet,6_5_Hyundai_i30_9029.jpg,99,False,0.13131313131313133,0.13131313131313133,0.2436386593272642
ResNet34_ImageNet,6_5_Hyundai_i30_9029.jpg,50,True,0.1717171717171717,0.34,0.5811455711280609
ResNet34_ImageNet,6_5_Hyundai_i30_9029.jpg,100,True,0.26262626262626265,0.26,0.4416653713718944
ResNet34_ImageNet,6_5_Hyundai_i30_9029.jpg,99,True,0.26262626262626265,0.26262626262626265,0.4435003751231256
ResNet34_ImageNet,4_2_Opel_vivarofourgon_5982.jpg,50,False,0.12121212121212122,0.24,0.401728401498738
ResNet34_ImageNet,4_2_Opel_vivarofourgon_5982.jpg,100,False,0.16161616161616163,0.16,0.30002738065145446
ResNet34_ImageNet,4_2_Opel_vivarofourgon_5982.jpg,99,False,0.16161616161616163,0.16161616161616163,0.30144179863783277
ResNet34_ImageNet,4_2_Opel_vivarofourgon_5982.jpg,50,True,0.20202020202020202,0.4,0.620248937747732
ResNet34_ImageNet,4_2_Opel_vivarofourgon_5982.jpg,100,True,0.35353535353535354,0.35,0.4933785080727584
ResNet34_ImageNet,4_2_Opel_vivarofourgon_5982.jpg,99,True,0.35353535353535354,0.35353535353535354,0.4948267758310691
ResNet34_ImageNet,4_4_Opel_Insignatourer_6351.jpg,50,False,0.020202020202020204,0.04,0.10561107067603412
ResNet34_ImageNet,4_4_Opel_Insignatourer_6351.jpg,100,False,0.030303030303030304,0.03,0.07325462228595037
ResNet34_ImageNet,4_4_Opel_Insignatourer_6351.jpg,99,False,0.030303030303030304,0.030303030303030304,0.07369153766257612
ResNet34_ImageNet,4_4_Opel_Insignatourer_6351.jpg,50,True,0.1111111111111111,0.22,0.29950223268185056
ResNet34_ImageNet,4_4_Opel_Insignatourer_6351.jpg,100,True,0.15151515151515152,0.15,0.2420011388356944
ResNet34_ImageNet,4_4_Opel_Insignatourer_6351.jpg,99,True,0.15151515151515152,0.15151515151515152,0.2429304432683782
ResNet34_ImageNet,0_0_BMW_Serie3Berline_45.jpg,50,False,0.020202020202020204,0.04,0.10528238331144019
ResNet34_ImageNet,0_0_BMW_Serie3Berline_45.jpg,100,False,0.050505050505050504,0.05,0.06922745817426038
ResNet34_ImageNet,0_0_BMW_Serie3Berline_45.jpg,99,False,0.050505050505050504,0.050505050505050504,0.06942167492349532
ResNet34_ImageNet,0_0_BMW_Serie3Berline_45.jpg,50,True,0.15151515151515152,0.3,0.32698975328092067
ResNet34_ImageNet,0_0_BMW_Serie3Berline_45.jpg,100,True,0.29292929292929293,0.29,0.2973574539967094
ResNet34_ImageNet,0_0_BMW_Serie3Berline_45.jpg,99,True,0.29292929292929293,0.29292929292929293,0.2974317717138479
ResNet34_ImageNet,6_0_Hyundai_Nexo_8305.jpg,50,False,0.030303030303030304,0.06,0.04137606855481783
ResNet34_ImageNet,6_0_Hyundai_Nexo_8305.jpg,100,False,0.050505050505050504,0.05,0.043002690283245354
ResNet34_ImageNet,6_0_Hyundai_Nexo_8305.jpg,99,False,0.050505050505050504,0.050505050505050504,0.042932010387116526
ResNet34_ImageNet,6_0_Hyundai_Nexo_8305.jpg,50,True,0.08080808080808081,0.16,0.12565458414755618
ResNet34_ImageNet,6_0_Hyundai_Nexo_8305.jpg,100,True,0.15151515151515152,0.15,0.13158250306139296
ResNet34_ImageNet,6_0_Hyundai_Nexo_8305.jpg,99,True,0.15151515151515152,0.15151515151515152,0.13139646773878078
ResNet34_ImageNet,6_3_Hyundai_i10_8736.jpg,50,False,0.006802721088435374,0.02,0.04431744009992184
ResNet34_ImageNet,6_3_Hyundai_i10_8736.jpg,100,False,0.013605442176870748,0.02,0.02986992522890989
ResNet34_ImageNet,6_3_Hyundai_i10_8736.jpg,147,False,0.027210884353741496,0.027210884353741496,0.026113162995932734
ResNet34_ImageNet,6_3_Hyundai_i10_8736.jpg,50,True,0.02040816326530612,0.06,0.09861876496621015
ResNet34_ImageNet,6_3_Hyundai_i10_8736.jpg,100,True,0.05442176870748299,0.08,0.08610751302415919
ResNet34_ImageNet,6_3_Hyundai_i10_8736.jpg,147,True,0.08843537414965986,0.08843537414965986,0.08494392286448367
ResNet34_ImageNet,8_5_Ford_Explorer_11897.jpg,50,False,0.02830188679245283,0.06,0.09126895693578672
ResNet34_ImageNet,8_5_Ford_Explorer_11897.jpg,100,False,0.04716981132075472,0.05,0.07563193030572318
ResNet34_ImageNet,8_5_Ford_Explorer_11897.jpg,106,False,0.04716981132075472,0.04716981132075472,0.07408610434195867
ResNet34_ImageNet,8_5_Ford_Explorer_11897.jpg,50,True,0.05660377358490566,0.12,0.1755418373943477
ResNet34_ImageNet,8_5_Ford_Explorer_11897.jpg,100,True,0.08490566037735849,0.09,0.13968507572389355
ResNet34_ImageNet,8_5_Ford_Explorer_11897.jpg,106,True,0.09433962264150944,0.09433962264150944,0.137062931321437
ResNet34_ImageNet,2_0_Volkswagen_Touareg_2839.jpg,50,False,0.030303030303030304,0.06,0.07685021298979146
ResNet34_ImageNet,2_0_Volkswagen_Touareg_2839.jpg,100,False,0.04040404040404041,0.04,0.065755915235931
ResNet34_ImageNet,2_0_Volkswagen_Touareg_2839.jpg,99,False,0.04040404040404041,0.04040404040404041,0.06601607599588989
ResNet34_ImageNet,2_0_Volkswagen_Touareg_2839.jpg,50,True,0.10101010101010101,0.2,0.2448721638208709
ResNet34_ImageNet,2_0_Volkswagen_Touareg_2839.jpg,100,True,0.20202020202020202,0.2,0.22187673811455635
ResNet34_ImageNet,2_0_Volkswagen_Touareg_2839.jpg,99,True,0.1919191919191919,0.1919191919191919,0.22209771526722866
